Fecha del HC,Turno,Crcy,Fecha Nacimiento,Edad,Genero,Estado Civil,Hijos,Fecha de ingreso,Antigüedad,Lugar de nacimiento,Escolaridad
2/26/2019,ADMINIST,MXN,4/14/1995,23.9,Male,Single,0,2/22/2018,1,JUAREZ,Universidad
2/26/2019,TURNO 04,MXN,2/7/1992,27.1,Male,Marr.,2,3/1/2018,1,GUANAJUATO,Secundaria
2/26/2019,TURNO 03,MXN,5/15/1995,23.8,Female,SigOth,0,4/5/2018,0.9,JUAREZ,Universidad
2/26/2019,TURNO 01,MXN,10/15/1988,30.4,Female,Marr.,2,4/5/2018,0.9,VERACRUZ,Bachillerato generál
2/26/2019,TURNO 04,MXN,7/4/1994,24.7,Male,Single,0,4/26/2018,0.8,MISANTLA,Bachillerato generál
2/26/2019,TURNO 01,MXN,6/11/1998,20.7,Female,Single,0,5/17/2018,0.8,CHIHUAHUA,Universidad
2/26/2019,ADMINIST,MXN,12/1/1993,25.3,Male,Single,0,5/17/2018,0.8,CHIHUAHUA,Carrera técnica
2/26/2019,ADMINIST,MXN,11/28/1996,22.3,Female,Single,0,5/17/2018,0.8,CHIHUAHUA,Universidad
2/26/2019,TURNO 01,MXN,4/28/1995,23.8,Male,Single,0,5/24/2018,0.8,JUAREZ,Universidad
2/26/2019,TURNO 02,MXN,12/6/1995,23.2,Male,Single,0,5/24/2018,0.8,OAXACA,Carrera técnica
2/26/2019,ADMINIST,MXN,8/8/1995,23.6,Male,Single,0,10/26/2017,1.3,JUAREZ,Universidad
2/26/2019,TURNO 02,MXN,4/19/1985,33.9,Male,Marr.,2,1/25/2018,1.1,DURANGO,Secundaria
2/26/2019,TURNO 01,MXN,8/10/1993,25.6,Male,Single,2,12/28/2016,2.2,VERACRUZ,Carrera técnica
2/26/2019,TURNO 01,MXN,1/12/1985,34.1,Male,Marr.,3,1/18/2017,2.1,LAGUNA CHICA,Secundaria
2/26/2019,TURNO 01,MXN,12/15/1997,21.2,Male,Single,0,1/18/2017,2.1,JUAREZ,Universidad
2/26/2019,ADMINIST,MXN,11/1/1994,24.3,Female,Single,0,3/28/2018,0.9,JUAREZ,Universidad
2/26/2019,TURNO 01,MXN,7/11/1995,23.6,Female,Single,0,1/25/2017,2.1,VERACRUZ,Bachillerato generál
2/26/2019,TURNO 01,MXN,11/9/1995,23.3,Male,Single,0,3/2/2017,2,DURANGO,Bachillerato generál
2/26/2019,TURNO 04,MXN,12/13/1966,52.2,Male,Marr.,3,5/18/2017,1.8,JALTIPAN,Secundaria
2/26/2019,ADMINIST,MXN,7/19/1989,29.6,Male,SigOth,4,9/7/2007,11.5,CUENCAME DGO,Universidad
2/26/2019,TURNO 01,MXN,3/27/1986,32.9,Male,Marr.,0,10/6/2008,10.4,JUAREZ CHIHUAHUA,Bachillerato generál
2/26/2019,TURNO 03,MXN,10/31/1967,51.4,Female,SigOth,0,10/13/2008,10.4,TORREON,Universidad
2/26/2019,TURNO 01,MXN,2/2/1994,25.1,Male,Single,0,7/6/2017,1.6,MINITITLAN,Bachillerato generál
2/26/2019,ADMINIST,MXN,3/11/1987,32,Male,Marr.,0,7/27/2017,1.6,JUAREZ,Universidad
2/26/2019,TURNO 01,MXN,11/17/1983,35.3,Male,Single,0,8/23/2010,8.5,CD. JUAREZ,Bachillerato generál
2/26/2019,TURNO 02,MXN,7/14/1977,41.6,Male,Marr.,3,8/31/2017,1.5,GUERRERO,Secundaria
2/26/2019,TURNO 02,MXN,3/19/1982,37,Male,Marr.,2,2/16/2012,7,CD JUAREZ CHIH,Carrera técnica
2/26/2019,TURNO 01,MXN,5/4/1962,56.9,Female,Marr.,3,6/10/2013,5.7,TORREON,Bachillerato generál
